name;address;zip_code;city;zip_code;LAT;LONG;email;time_slot;picture
A CANTINA;28 rue Kervegan;44000;NANTES;44109;47,2125614;-1,5565375;02 40 47 68 83;12;a-cantina
CHEZ RAFAËL;4 rue Emile Masson;44000;NANTES;44109;47,2140058;-1,5462642;02 40 20 42 27;12;chez-rafael
L'ATELIER D'ALAIN;24 Rue des Olivettes;44000;NANTES;44109;47,2106165;-1,5492767;02 40 84 38 66;12;atelier-alain
LA RAFFINERIE;54 rue Fouré ;44000;NANTES;44109;47,2103878;-1,5472457;02 40 74 81 05;12;la-raffinerie
LE CÔTÉ PLAGE;14 allée Turenne;44000;NANTES;44109;47,2123489;-1,5556282;02 40 47 01 69;12;le-cote-plage
LE GRESSIN;40 bis Rue Fouré;44000;NANTES;44109;47,2115768;-1,5469241;02 40 48 26 24;12;le-gressin
LE P'TIT QU'A FAIT;11 rue des olivettes ;44000;NANTES;44109;47,2120526;-1,5499659;09 52 67 31 26;12;le-petit-qua-fait
MAISON BARON-LEFÈVRE;33 Rue de Rieux;44000;NANTES;44109;47,2104248;-1,545918;02 40 89 20 20;12;maison-baron
PLAN B;29 rue Fouré ;44000;NANTES;44109;47,2117423;-1,5467001;02 85 37 15 02;12;plan-b
TAPAS ET VINOS;15 rue Kervegan;44000;NANTES;44109;47,2126533;-1,5557163;02 40 20 86 91;12;tapas-et-vinos
TOTUM - CANTINE BIO;carré feydeau;44000;NANTES;44109;47,2122884;-1,556059;02 40 55 55 55;12;totum
YLANG YLANG;40 rue Fouré;44000;NANTES;44109;47,2115812;-1,546914;02 51 83 13 31;12;ylang
